review_id	sentiment	label_id	input_ids	review_body	date
6963	0	1	[0, 30048, 1437, 5, 23204, 16, 269, 2721, 734, 118, 2333, 907, 10, 650, 11, 6215, 13657, 1437, 8, 42, 2551, 7, 422, 15, 5, 2735, 526, 4, 24, 947, 10431, 3416, 131, 29, 1256, 765, 1437, 53, 5, 696, 939, 33, 16, 14, 5, 21764, 32, 203, 10941, 11, 621, 87, 15, 5, 3092, 11, 5, 3493, 4, 24, 1326, 101, 939, 947, 10431, 3416, 131, 119, 2498, 10, 155, 73, 306, 24150, 6399, 4, 202, 8997, 114, 939, 947, 10431, 3416, 131, 119, 164, 7, 489, 24, 1437, 142, 24, 16, 269, 10, 9869, 299, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Honestly  the sweater is really beautiful...i usually buy a small in retailer tops  and this seemed to run on the smaller side. it&#39;s pretty short  but the issue i have is that the sleeves are much shorter in person than on the models in the pictures. it looks like i&#39;m wearing a 3/4 sleeve shirt. still deciding if i&#39;m going to keep it  because it is really a lovely top.	2021-09-28T02:28:47Z
2767	1	2	[0, 100, 2162, 42, 299, 148, 5, 1823, 389, 207, 160, 1392, 1437, 98, 5, 425, 21, 2299, 966, 24, 8, 939, 216, 939, 581, 120, 10, 319, 9, 3568, 66, 24, 4, 939, 2162, 5, 10521, 8, 5, 22990, 965, 75, 350, 9378, 1437, 53, 95, 615, 13, 162, 7, 236, 7, 3568, 10, 740, 5602, 12213, 1437, 941, 23, 173, 4, 939, 437, 6329, 10, 650, 73, 306, 11, 6215, 3595, 1437, 53, 939, 2162, 10, 3023, 29, 8, 24, 10698, 372, 1437, 98, 24, 473, 422, 10, 410, 739, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I bought this top during the extra 30% off sale  so the price was definitely worth it and i know i'll get a lot of wear out it. i bought the grey and the lace isn't too revealing  but just enough for me to want to wear a cami underneath  especially at work. i'm normally a small/4 in retailer brands  but i bought a xs and it fits great  so it does run a little large.	2021-09-28T02:28:47Z
7356	-1	0	[0, 14323, 16, 2198, 192, 149, 4, 939, 17672, 4744, 114, 24, 58, 7, 120, 7727, 99, 24, 74, 356, 101, 4, 24, 16, 10, 11962, 1521, 53, 45, 7708, 23, 70, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Top is completely see through. i cant imagine if it were to get wet what it would look like. it is a cute design but not practical at all.	2021-09-28T02:28:47Z
11478	1	2	[0, 100, 1381, 15, 3023, 29, 11, 5, 1400, 36, 30921, 196, 43, 8, 24, 1415, 1307, 15, 162, 1437, 939, 101, 5, 6404, 1114, 1437, 5, 1468, 16, 2422, 3793, 1437, 53, 1374, 1437, 1705, 75, 11071, 190, 23, 1392, 19, 843, 207, 160, 1437, 25, 24, 938, 75, 34203, 77, 24, 1326, 380, 4, 2440, 3195, 2579, 11, 621, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I tried on xs in the store (returned) and it looked huge on me  i like the rushing idea  the material is super soft  but overall  couldn't justify even at sale with 40% off  as it wasn't flattering when it looks big. blue color nice in person.	2021-09-28T02:28:47Z
4464	0	1	[0, 100, 56, 215, 239, 1991, 13, 42, 8443, 716, 15, 5, 1345, 1437, 939, 190, 9010, 13, 24, 7, 283, 124, 11, 388, 4, 5, 4617, 16, 2721, 53, 24, 16, 1481, 1115, 13802, 8, 2233, 219, 4, 13, 5135, 939, 2740, 3023, 29, 1437, 8, 939, 524, 2333, 10, 321, 73, 176, 15, 299, 36, 23115, 7050, 196, 322, 24, 429, 356, 357, 15, 951, 19, 10, 2514, 7050, 53, 1415, 101, 10, 14072, 15, 162, 4, 98, 6770, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I had such high hopes for this jacket based on the photo  i even waited for it to come back in stock. the detail is beautiful but it is shapeless and boxy. for reference i ordered xs  and i am usually a 0/2 on top (small chested). it might look better on someone with a larger chest but looked like a sack on me. so disappointing.	2021-09-28T02:28:47Z
9417	1	2	[0, 30124, 1551, 35, 939, 2740, 5, 1836, 974, 25, 939, 1166, 10, 14726, 102, 1855, 1545, 10844, 422, 650, 1437, 8, 127, 4505, 1836, 11, 5951, 1690, 3623, 324, 16, 10, 973, 11, 37687, 1437, 974, 11, 103, 10844, 4, 479, 939, 437, 195, 108, 176, 113, 1437, 855, 564, 113, 13977, 1437, 2357, 113, 239, 6605, 1437, 2908, 4, 1244, 113, 23, 5, 35653, 1437, 1132, 113, 11, 1090, 424, 4, 939, 33, 55, 9, 10, 30023, 3989, 87, 41, 1946, 19487, 1437, 2342, 7933, 9377, 1437, 2671, 2853, 35841, 8, 2576, 4, 939, 437, 251, 12, 2739, 15346, 8, 109, 33, 103, 239, 12, 15839, 20580, 14, 356, 372, 1437, 61, 16, 596, 939, 25892, 2746, 6738, 15, 209, 4, 479, 5, 974, 21, 2]	"Fit review: i ordered the size 27 as i read alexa chung jeans run small  and my usual size in ag stevie is a 26 in cords  27 in some jeans. . i'm 5'2""  currently 25"" waist  33"" high hip  37.25"" at the widest  29"" inseam. i have more of a pear shape than an hourglass  flatter stomach  bigger upper thighs and bottom. i'm long-waisted and do have some high-rise trousers that look great  which is why i risked paying shipping on these. . the 27 was loose at my natural waist  the jeans measuring 29.5"""	2021-09-28T02:28:47Z
7831	0	1	[0, 713, 16, 10, 11962, 299, 14, 34, 10, 35735, 18632, 8, 79, 225, 7, 5, 29986, 11, 621, 87, 5, 3493, 109, 2427, 7, 734, 405, 18, 95, 1622, 24230, 8, 39083, 906, 11, 621, 4, 1437, 89, 18, 10, 2579, 385, 31766, 7, 5, 10199, 1437, 53, 24, 18, 847, 1256, 765, 8, 1810, 1437, 61, 965, 75, 34203, 4356, 139, 1437, 3867, 47, 32, 182, 4716, 1459, 8, 33, 10, 650, 11044, 4, 939, 224, 42, 25, 951, 54, 16, 650, 615, 14, 939, 2333, 2814, 10, 10941, 847, 299, 142, 144, 2340, 5933, 12039, 8, 13657, 32, 27115, 636, 5933, 15, 162, 4, 1437, 939, 74, 33, 576, 24, 10, 723, 999, 12378, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This is a cute top that has a nicer texture and sheen to the velvet in person than the pictures do justice to...it's just simply richer and prettier in person.  there's a nice drape to the fabric  but it's cut pretty short and wide  which isn't flattering imo  unless you are very petite and have a small bust. i say this as someone who is small enough that i usually welcome a shorter cut top because most normal length tanks and tops are tunic length on me.  i would have given it a higher star rat	2021-09-28T02:28:47Z
13104	-1	0	[0, 713, 299, 115, 348, 57, 65, 9, 127, 11929, 655, 4, 939, 2740, 5, 1458, 1973, 8, 21, 1884, 15, 12926, 277, 3195, 4, 5, 10199, 16, 2422, 7174, 53, 939, 21, 441, 7, 3568, 885, 73, 139, 41, 1823, 6013, 4, 9574, 71, 132, 15033, 1437, 484, 650, 6538, 1382, 198, 5, 5397, 73, 5087, 5, 910, 15315, 4, 939, 15158, 42, 299, 15, 865, 10397, 4943, 8, 10601, 7, 3841, 4, 77, 939, 376, 7, 1166, 5, 6173, 1437, 939, 5324, 939, 938, 75, 5, 129, 2111, 19, 42, 696, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This top could've been one of my favorites ever. i ordered the rose option and was planning on ordering another color. the fabric is super thin but i was able to wear w/o an extra tank. unfortunately after 2 wears  several small holes appeared around the neck/under the ruffle. i washed this top on hand wash cycle and hung to dry. when i came to read the reviews  i noticed i wasn't the only customer with this issue.	2021-09-28T02:28:47Z
14471	0	1	[0, 100, 2162, 42, 6399, 11, 1104, 8, 524, 1372, 19, 5, 754, 14, 24, 18, 45, 350, 11708, 4, 5, 124, 4617, 16, 372, 4, 127, 129, 3674, 16, 14, 24, 16, 350, 251, 4, 939, 300, 5, 650, 8, 24, 10698, 15481, 11, 5, 3701, 8, 299, 1437, 53, 24, 16, 203, 1181, 15, 162, 87, 15, 5, 1421, 4, 939, 437, 195, 108, 245, 113, 6764, 4, 24, 630, 75, 356, 372, 77, 939, 109, 10, 457, 326, 5858, 1437, 53, 24, 1326, 2051, 114, 939, 326, 5858, 24, 70, 5, 169, 11, 4, 2085, 41, 3023, 29, 74, 33, 57, 10, 357, 2564, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"I bought this shirt in white and am happy with the fact that it's not too sheer. the back detail is great. my only complaint is that it is too long. i got the small and it fits nicely in the arms and top  but it is much longer on me than on the model. i'm 5'5"" tall. it doesn't look great when i do a half tuck  but it looks fine if i tuck it all the way in. maybe an xs would have been a better fit."	2021-09-28T02:28:47Z
18776	-1	0	[0, 100, 657, 5, 1521, 9, 42, 299, 1437, 959, 1437, 24, 18, 1318, 16, 28369, 4, 5, 6399, 16, 1256, 765, 8, 74, 28, 55, 34203, 36, 415, 513, 15, 162, 43, 114, 24, 56, 10, 367, 55, 4877, 4, 67, 24, 18, 1256, 11708, 1437, 98, 18877, 66, 223, 30625, 16, 10, 21949, 4, 939, 40, 202, 3568, 24, 142, 939, 657, 24, 4, 1326, 372, 19, 10, 21288, 15203, 81, 24, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I love the design of this top  however  it's quality is lackluster. the shirt is pretty short and would be more flattering (at least on me) if it had a few more inches. also it's pretty sheer  so figuring out under garments is a dilemma. i will still wear it because i love it. looks great with a denim vest over it!	2021-09-28T02:28:47Z
